"region"	"kjønn"	"alder"	"år"	"Personer"
"K-3002 Moss"	"Menn"	"0-17 år"	"1986"	4243
"K-3002 Moss"	"Menn"	"0-17 år"	"1987"	4198
"K-3002 Moss"	"Menn"	"0-17 år"	"1988"	4192
"K-3002 Moss"	"Menn"	"0-17 år"	"1989"	4130
"K-3002 Moss"	"Menn"	"0-17 år"	"1990"	4067
"K-3002 Moss"	"Menn"	"0-17 år"	"1991"	4069
"K-3002 Moss"	"Menn"	"0-17 år"	"1992"	4028
"K-3002 Moss"	"Menn"	"0-17 år"	"1993"	3968
"K-3002 Moss"	"Menn"	"0-17 år"	"1994"	3970
"K-3002 Moss"	"Menn"	"0-17 år"	"1995"	3983
"K-3002 Moss"	"Menn"	"0-17 år"	"1996"	4077
"K-3002 Moss"	"Menn"	"0-17 år"	"1997"	4158
"K-3002 Moss"	"Menn"	"0-17 år"	"1998"	4275
"K-3002 Moss"	"Menn"	"0-17 år"	"1999"	4367
"K-3002 Moss"	"Menn"	"0-17 år"	"2000"	4552
"K-3002 Moss"	"Menn"	"0-17 år"	"2001"	4690
"K-3002 Moss"	"Menn"	"0-17 år"	"2002"	4774
"K-3002 Moss"	"Menn"	"0-17 år"	"2003"	4864
"K-3002 Moss"	"Menn"	"0-17 år"	"2004"	4879
"K-3002 Moss"	"Menn"	"0-17 år"	"2005"	4954
"K-3002 Moss"	"Menn"	"0-17 år"	"2006"	4953
"K-3002 Moss"	"Menn"	"0-17 år"	"2007"	5027
"K-3002 Moss"	"Menn"	"0-17 år"	"2008"	5073
"K-3002 Moss"	"Menn"	"0-17 år"	"2009"	5082
"K-3002 Moss"	"Menn"	"0-17 år"	"2010"	5151
"K-3002 Moss"	"Menn"	"0-17 år"	"2011"	5119
"K-3002 Moss"	"Menn"	"0-17 år"	"2012"	5116
"K-3002 Moss"	"Menn"	"0-17 år"	"2013"	5092
"K-3002 Moss"	"Menn"	"0-17 år"	"2014"	5050
"K-3002 Moss"	"Menn"	"0-17 år"	"2015"	5061
"K-3002 Moss"	"Menn"	"0-17 år"	"2016"	5122
"K-3002 Moss"	"Menn"	"0-17 år"	"2017"	5146
"K-3002 Moss"	"Menn"	"0-17 år"	"2018"	5098
"K-3002 Moss"	"Menn"	"0-17 år"	"2019"	5051
"K-3002 Moss"	"Menn"	"0-17 år"	"2020"	5011
"K-3002 Moss"	"Menn"	"0-17 år"	"2021"	4987
"K-3002 Moss"	"Menn"	"0-17 år"	"2022"	5006
"K-3002 Moss"	"Menn"	"0-17 år"	"2023"	5054
"K-3002 Moss"	"Menn"	"18-49 år"	"1986"	8461
"K-3002 Moss"	"Menn"	"18-49 år"	"1987"	8550
"K-3002 Moss"	"Menn"	"18-49 år"	"1988"	8731
"K-3002 Moss"	"Menn"	"18-49 år"	"1989"	8775
"K-3002 Moss"	"Menn"	"18-49 år"	"1990"	8776
"K-3002 Moss"	"Menn"	"18-49 år"	"1991"	8830
"K-3002 Moss"	"Menn"	"18-49 år"	"1992"	8923
"K-3002 Moss"	"Menn"	"18-49 år"	"1993"	9012
"K-3002 Moss"	"Menn"	"18-49 år"	"1994"	9023
"K-3002 Moss"	"Menn"	"18-49 år"	"1995"	9011
"K-3002 Moss"	"Menn"	"18-49 år"	"1996"	8940
"K-3002 Moss"	"Menn"	"18-49 år"	"1997"	8822
"K-3002 Moss"	"Menn"	"18-49 år"	"1998"	8873
"K-3002 Moss"	"Menn"	"18-49 år"	"1999"	8914
"K-3002 Moss"	"Menn"	"18-49 år"	"2000"	8942
"K-3002 Moss"	"Menn"	"18-49 år"	"2001"	8950
"K-3002 Moss"	"Menn"	"18-49 år"	"2002"	8875
"K-3002 Moss"	"Menn"	"18-49 år"	"2003"	8872
"K-3002 Moss"	"Menn"	"18-49 år"	"2004"	8823
