region;fagutdanning;alder;sektor;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
K.3001 Halden;Hjelpepleier;Alle aldre;Kommuneforvaltningen;389.0;404.0;404.0;390.0;360.0;355.0;332.0;333.0;312.0;304.0;244.0;223.0;210.0;195.0;183.0
K.3001 Halden;Hjelpepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Hjelpepleier;Alle aldre;Statsforvaltningen;6.0;28.0;22.0;22.0;22.0;27.0;27.0;24.0;26.0;27.0;20.0;17.0;22.0;22.0;12.0
K.3001 Halden;Hjelpepleier;Alle aldre;Privat sektor og offentlige foretak;22.0;20.0;22.0;25.0;25.0;25.0;29.0;23.0;22.0;24.0;25.0;23.0;26.0;24.0;12.0
K.3001 Halden;Hjelpepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Helsefagarbeider;Alle aldre;Kommuneforvaltningen;0.0;140.5;10.0;23.0;31.0;84.0;124.0;128.0;153.0;169.0;169.0;191.0;214.0;240.0;262.0
K.3001 Halden;Helsefagarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Helsefagarbeider;Alle aldre;Statsforvaltningen;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;5.0;0.0;0.0;5.0
K.3001 Halden;Helsefagarbeider;Alle aldre;Privat sektor og offentlige foretak;0.0;0.0;0.0;0.0;0.0;10.0;10.0;9.0;15.0;11.0;12.0;10.0;16.0;16.0;16.0
K.3001 Halden;Helsefagarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Omsorgsarbeider;Alle aldre;Kommuneforvaltningen;107.0;109.0;101.0;104.0;89.0;78.0;60.0;57.0;52.0;46.0;40.0;37.0;36.0;37.0;31.0
K.3001 Halden;Omsorgsarbeider;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Omsorgsarbeider;Alle aldre;Statsforvaltningen;4.0;5.0;7.0;6.0;6.0;6.0;8.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0
K.3001 Halden;Omsorgsarbeider;Alle aldre;Privat sektor og offentlige foretak;18.0;17.0;18.0;17.0;17.0;20.0;15.0;17.0;12.0;11.0;10.0;10.0;7.0;8.0;8.0
K.3001 Halden;Omsorgsarbeider;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Sykepleier;Alle aldre;Kommuneforvaltningen;166.0;193.0;215.0;229.0;243.0;253.0;252.0;249.0;260.0;253.0;231.0;235.0;236.0;235.0;244.0
K.3001 Halden;Sykepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Sykepleier;Alle aldre;Statsforvaltningen;21.0;51.0;51.0;50.0;41.0;51.0;51.0;52.0;49.0;47.0;43.0;45.0;50.0;50.0;51.0
K.3001 Halden;Sykepleier;Alle aldre;Privat sektor og offentlige foretak;26.0;23.0;25.0;24.0;22.0;25.0;28.0;28.0;27.0;31.0;28.0;28.0;26.0;33.0;28.0
K.3001 Halden;Sykepleier;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Lege uten spesialitet;Alle aldre;Kommuneforvaltningen;4.0;6.0;5.0;7.0;8.0;10.0;7.0;10.0;10.0;8.0;16.0;14.0;13.0;11.0;9.0
K.3001 Halden;Lege uten spesialitet;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Lege uten spesialitet;Alle aldre;Statsforvaltningen;0.0;3.5;3.5;3.5;3.0;3.0;3.0;3.0;5.0;4.0;4.0;5.0;3.5;3.5;8.0
K.3001 Halden;Lege uten spesialitet;Alle aldre;Privat sektor og offentlige foretak;6.0;6.0;9.0;9.0;8.0;11.0;13.0;13.0;11.0;14.0;11.0;11.0;11.0;12.0;12.0
K.3001 Halden;Lege uten spesialitet;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Lege med spesialitet;Alle aldre;Kommuneforvaltningen;3.0;4.0;4.0;3.0;4.0;5.0;7.0;5.0;5.0;5.0;4.0;4.0;5.0;8.0;8.0
K.3001 Halden;Lege med spesialitet;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3001 Halden;Lege med spesialitet;Alle aldre;Statsforvaltningen;0.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;6.0;3.0;3.0;5.0
K.3001 Halden;Lege med spesialitet;Alle aldre;Privat sektor og offentlige foretak;31.0;28.0;29.0;30.0;33.0;32.0;27.0;23.0;23.0;25.0;25.0;25.0;28.0;30.0;29.0
K.3001 Halden;Lege med spesialitet;Alle aldre;Uoppgitt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
K.3002 Moss;Hjelpepleier;Alle aldre;Kommuneforvaltningen;435.0;445.0;454.0;453.0;438.0;411.0;329.0;324.0;305.0;291.0;309.0;296.0;278.0;260.0;247.0
K.3002 Moss;Hjelpepleier;Alle aldre;Fylkeskommunal forvaltning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
