"13600: Framskrevet folkemengde 1. januar, etter statistikkvariabel, region, alder og år"

"statistikkvariabel";"region";"alder";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035"
"Hovedalternativet (MMMM)";"3002 Moss";"0-17 år";9798;9789;9818;9762;9730;9708;9625;9595;9568;9568;9570;9582;9575;9612
"Hovedalternativet (MMMM)";"3002 Moss";"18-49 år";19492;19666;19738;19785;19812;19880;19977;20011;20063;20058;20084;20123;20142;20144
"Hovedalternativet (MMMM)";"3002 Moss";"50-66 år";11743;11924;12096;12242;12374;12408;12490;12591;12649;12716;12694;12650;12657;12628
"Hovedalternativet (MMMM)";"3002 Moss";"67-79 år";6768;6866;6936;6974;6981;7002;7020;7051;7152;7221;7439;7636;7838;8038
"Hovedalternativet (MMMM)";"3002 Moss";"80-89 år";2039;2158;2282;2457;2648;2863;3038;3199;3323;3481;3560;3617;3663;3688
"Hovedalternativet (MMMM)";"3002 Moss";"90 år og eldre";450;459;456;465;489;513;552;583;602;638;656;715;764;843
"Hovedalternativet (MMMM)";"3005 Drammen";"0-17 år";20859;20712;20525;20327;20195;19986;19806;19729;19617;19545;19538;19502;19490;19513
"Hovedalternativet (MMMM)";"3005 Drammen";"18-49 år";43429;43562;43628;43512;43453;43574;43744;43796;43887;43914;43919;43897;43899;43834
"Hovedalternativet (MMMM)";"3005 Drammen";"50-66 år";21653;21944;22169;22471;22696;22870;22982;23124;23223;23371;23425;23508;23576;23631
"Hovedalternativet (MMMM)";"3005 Drammen";"67-79 år";11830;12053;12264;12242;12207;12119;12152;12231;12425;12618;12913;13189;13407;13693
"Hovedalternativet (MMMM)";"3005 Drammen";"80-89 år";3681;3829;3998;4337;4707;5124;5434;5688;5853;6015;6108;6230;6362;6381
"Hovedalternativet (MMMM)";"3005 Drammen";"90 år og eldre";821;798;787;796;802;824;868;909;962;991;1033;1089;1157;1311
"Hovedalternativet (MMMM)";"3007 Ringerike";"0-17 år";5721;5711;5708;5703;5676;5637;5589;5528;5492;5488;5476;5472;5483;5511
"Hovedalternativet (MMMM)";"3007 Ringerike";"18-49 år";12210;12290;12286;12295;12293;12337;12395;12461;12498;12474;12506;12520;12514;12507
"Hovedalternativet (MMMM)";"3007 Ringerike";"50-66 år";7183;7226;7313;7310;7383;7366;7383;7409;7451;7499;7487;7446;7412;7421
