Region,Year,Forecast
K-1103 Stavanger,2023,19762.646650600327
K-1103 Stavanger,2024,20473.377548758992
K-1103 Stavanger,2025,21138.614753831916
K-1103 Stavanger,2026,21803.570158058927
K-1103 Stavanger,2027,22468.6179384082
K-1103 Stavanger,2028,23133.635437272915
K-1103 Stavanger,2029,23798.662862602225
K-1103 Stavanger,2030,24463.68703397286
K-1106 Haugesund,2023,6033.3783601566565
K-1106 Haugesund,2024,6215.621639843343
K-1106 Haugesund,2025,6385.765740632723
K-1106 Haugesund,2026,6555.47887598567
K-1106 Haugesund,2027,6725.3140054087335
K-1106 Haugesund,2028,6895.1146017767405
K-1106 Haugesund,2029,7064.924973471453
K-1106 Haugesund,2030,7234.73257804892
K-1506 Molde,2023,6139.02971496553
K-1506 Molde,2024,6333.897180125272
K-1506 Molde,2025,6499.725898927368
K-1506 Molde,2026,6658.112009594902
K-1506 Molde,2027,6819.975023339301
K-1506 Molde,2028,6980.213760380246
K-1506 Molde,2029,7141.21129763824
K-1506 Molde,2030,7301.854352332906
K-3007 Ringerike,2023,6036.556629179013
K-3007 Ringerike,2024,6192.680753142475
K-3007 Ringerike,2025,6339.76903224016
K-3007 Ringerike,2026,6483.9900942785125
K-3007 Ringerike,2027,6629.494168468949
K-3007 Ringerike,2028,6774.42412491792
K-3007 Ringerike,2029,6919.610985543933
K-3007 Ringerike,2030,7064.682887597139
K-3029 Lørenskog,2023,6307.910884213612
K-3029 Lørenskog,2024,6555.699479874346
K-3029 Lørenskog,2025,6787.663579391118
K-3029 Lørenskog,2026,7019.597240767239
K-3029 Lørenskog,2027,7251.534403321118
K-3029 Lørenskog,2028,7483.471163148501
K-3029 Lørenskog,2029,7715.407969299905
K-3029 Lørenskog,2030,7947.344770122842
K-3030 Lillestrøm,2023,12497.055357191239
K-3030 Lillestrøm,2024,12645.311310378534
K-3030 Lillestrøm,2025,12889.183835272102
K-3030 Lillestrøm,2026,13137.31738469847
K-3030 Lillestrøm,2027,13383.991279555581
K-3030 Lillestrøm,2028,13631.165192998635
K-3030 Lillestrøm,2029,13878.16782030896
K-3030 Lillestrøm,2030,14125.229123316727
K-3407 Gjøvik,2023,5734.591562737645
K-3407 Gjøvik,2024,5795.061041825097
K-3407 Gjøvik,2025,5879.005939171709
K-3407 Gjøvik,2026,5964.326038174297
K-3407 Gjøvik,2027,6049.03923990121
K-3407 Gjøvik,2028,6134.020274568566
K-3407 Gjøvik,2029,6218.883110511259
K-3407 Gjøvik,2030,6303.798109337608
K-3802 Holmestrand,2023,4709.6414859684955
K-3802 Holmestrand,2024,4882.786171343835
K-3802 Holmestrand,2025,5049.524472195546
K-3802 Holmestrand,2026,5217.370428557708
K-3802 Holmestrand,2027,5384.617274412369
K-3802 Holmestrand,2028,5552.188168129213
K-3802 Holmestrand,2029,5719.583790313225
K-3802 Holmestrand,2030,5887.074213647952
K-3803 Tønsberg,2023,9874.981117838277
K-3803 Tønsberg,2024,10177.044997671364
K-3803 Tønsberg,2025,10484.96865977238
K-3803 Tønsberg,2026,10792.90641024989
K-3803 Tønsberg,2027,11100.842524913998
K-3803 Tønsberg,2028,11408.778829513794
K-3803 Tønsberg,2029,11716.715112059996
K-3803 Tønsberg,2030,12024.65139716686
K-3806 Porsgrunn,2023,6845.17845113318
K-3806 Porsgrunn,2024,6934.436427846293
K-3806 Porsgrunn,2025,7066.483694725579
K-3806 Porsgrunn,2026,7203.092469408641
K-3806 Porsgrunn,2027,7337.874300605332
K-3806 Porsgrunn,2028,7473.387846543283
K-3806 Porsgrunn,2029,7608.608331165122
K-3806 Porsgrunn,2030,7743.946190673864
